Number, Time, Scramble 
23476,15.83,F2 U L2 D F2 U2 L2 D2 F2 U' F L R' U' B F' U R' F' U2
23477,15.75,F' R F2 U2 L2 D2 L' F2 L' B2 R2 U2 R D' F D U' L2 D L' U2
23478,20.59,D' R' U2 B L2 F2 D2 L2 B' R2 B2 D2 L D B F' L' U' F2 U2
23479,14.61,D B R' B2 L2 F2 R2 U R2 U B2 U F' D2 L' U2 L R U2
23480,15.37,F2 D2 L U2 R2 D2 B2 D2 R' F2 R F R2 D R2 U2 L U' B2 U2
23481,14.30,R U' F R2 L2 U F' R2 L2 B2 U' R2 L2 B2 U2 D' B2 U L
23482,22.21,D2 L' D2 F2 L D2 B2 F2 R' B2 R F2 D' R D U L' R2 F D' L
23483,13.21,L' U2 R2 B2 F D2 L2 B F2 D2 F' L' F2 U' F2 R' F U' L'
23484,16.68,D2 L D2 B2 L R B2 D2 B2 R' F2 U2 D L' B' D L F' U R' U
23485,16.30,R U2 B2 L' B' U L' D' U2 B2 U2 F L2 U2 L2 F' D2 F' R2 B' L
23486,22.28,B R2 B D2 R2 D2 B' U2 R2 F2 L' B U L2 R' F R B2 U
23487,16.86,L' B2 L2 D2 F L2 B U2 B D2 F' L2 U' B' F2 L' D L2 U F
23488,17.69,D' F2 L2 R2 U R2 D2 U B2 U L2 U R' F' R' D R B' R' D
23489,13.89,B2 U L2 B2 L2 F2 D' F2 D U' F' D L2 F R F' D' B2
23490,13.32,R' D' B2 R2 B U2 R2 F' L2 F' D2 B' D2 F U' L U' B D' U B'
23491,14.65,L2 D2 R2 U' R2 U L2 F2 U F2 L' B U F2 R' B' U2 F L U
23492,14.26,U R' D2 B R' L2 U L D B' R2 D2 F2 B U2 D2 B D2 B2
23493,14.64,U2 L B R2 D2 B2 D2 F' L2 B U2 F D U R' B' L B D
23494,15.62,F B2 D2 L2 D B2 L2 U' F2 L2 U2 R F2 D F' U2 L U B U
23495,15.53,B2 D2 R2 U2 F D2 B2 D2 F' D2 F R F' U' F2 R' F2 D2 B R2
23496,14.74,R U' R2 B' D2 B' L2 F' R2 F R2 B R2 U L' B2 L2 U2 F2 U
23497,15.12,U2 R F' D2 U2 F R2 B D2 B R2 F2 U' L' B' R' D' B2 L2 B'
23498,13.85,L B' R' U2 R B2 L' D2 L F2 R2 D2 B2 U' L B' L' F2 U
23499,16.46,B' U R2 F2 D R2 D2 B2 D L2 U F2 U R D U' R2 F D' L2 B
23500,22.54,U R L F2 U D R2 B R F2 R2 L' F2 U2 D2 R F2 U2 B
23501,16.46,U' L' F2 L2 B2 F2 U F2 D' B2 D2 L2 U' B U2 L U2 B U' R' F
23502,19.26,D' B D F2 L2 F2 L2 U' R2 D R2 B2 D2 L R' F' L B L2 R
23503,15.39,R L' D' L U' D F' B2 L B2 D2 B L2 U2 R2 U2 B R2 F L2
23504,16.00,U2 L U2 R D2 L2 F2 L' D2 U2 F2 U2 B' R2 D R' F L' U2 L2
23505,15.71,F' U R2 D2 B R2 D2 L2 F2 U2 B U2 L' B' U2 R D' F2 D
23506,15.89,D L2 D2 R' D2 U2 L' R U2 L' D2 B' D2 F' D U2 R' D2 L'
23507,18.71,F2 R2 D F2 L2 D2 B2 L2 D F2 B' L D2 F2 D' L' U' B' L2 U
23508,14.41,U F2 B' L' U R2 L' D B2 L' F2 D2 L U2 D2 L F2 D2
23509,18.65,U' L2 U B2 U2 R2 U' B2 F2 U2 L U R2 U' F U' B' F D' U
23510,18.57,D' F' U' L2 B2 D' U' F2 D R2 U' B2 F2 L U F' R' U B' L
23511,16.87,D' F' B2 U' F2 R2 L' U F L B2 R' D2 R2 U2 D2 R U2 F2 R2
23512,12.25,F2 U2 B' F2 D L2 D' B2 U2 F2 R2 D' L2 R D F U' B L D
23513,14.45,D' F R' F L F' R2 U L' U2 D2 R' F2 L' U2 B2 U2 L B2 D'
23514,19.34,D2 R L' D' L' U' L B' U' L2 B L2 D2 B' D2 F R2 F R2 F
23515,17.66,L2 F2 R2 B2 F2 U' R2 D U R2 B2 R D R B F R2 D' R2 U
23516,15.81,R' B2 L2 F2 U2 B2 D F2 U L2 B2 U2 R F2 R B' D2 B' U2 F R
23517,16.83,F L F2 D L2 B2 R2 D B2 D2 U' L2 F U L' R' D2 F' L2 B'
23518,18.36,B U' F2 R2 D' L2 U2 R2 D' B2 R2 F2 R' U2 B' U2 L F' U B
23519,14.61,L' U' F' U R' D R2 F B2 R2 F2 R' D2 R' L' B2 L F2 B2 L2 B'
23520,15.56,B2 U L2 U B2 L2 F' U' L2 B' R D B' L2 F D2
23521,12.77,U' L F U2 B F2 R2 D2 F R2 D2 L2 B' D U' R' F2 U' B' L2 R2
23522,13.02,L2 D2 F2 D2 B2 L F2 D2 L2 B2 D2 F' D B' U F2 L' D L2 F2 R'
23523,16.55,R2 D R2 B2 D F2 D' L2 U2 R2 D F' D' L B' F' U L' F U'
23524,13.99,U F2 D2 R2 F2 D L2 F2 U B' L' U' F L D' R2 D' R2
23525,14.41,R2 D2 R2 U2 B2 D' B2 D' B2 U' L2 F2 R' F L2 D B2 L R2 D2 R
23526,16.24,D2 F' R2 B' F' R2 D2 F U2 B U' R D2 F2 D' L' U F' R2
23527,13.01,B2 L' F2 U2 L2 D R2 U2 L2 D F2 U' L F' L2 D L2 B' D
23528,15.97,D' L2 F' U' B2 R D2 R D' F2 D2 R2 D2 F2 R' F2 L B2 L'
23529,18.27,R' F2 U F2 U' R2 U L2 U' R2 U' F2 D2 R B' U2 B U2 F U2 R
23530,14.88,B' R2 L F' B D' F' R' U' L2 F2 D2 R2 B2 U2 L' D2 L' D2 B2
23531,13.57,L U2 R2 F' U2 R2 B R2 B R2 F L' D' B2 U2 B L' U2 L'
23532,14.04,F2 D U2 B2 L2 B2 U' L2 D' B2 L' F' U B R' U F' U R
23533,13.30,R F2 L B U' R B R' F2 L2 D' R2 F2 L2 F2 D R2 U' D'
23534,14.58,D2 U2 R' F2 L B2 L' R2 U2 L2 F2 B' L' D' B L2 F' L' B U' B'
23535,15.68,B' R U' R B2 U2 D B U D2 B2 L' U2 R2 U2 B2 U2 R F2 R2 D2
23536,18.60,D2 B2 D2 R2 F2 R2 U2 B D2 B' U2 L2 D' F2 U L' B F2 L' D U2
23537,16.15,U' B2 D' R' L2 F' R' L F2 D' F2 B2 D2 F2 U' L2 D L2 B2
23538,13.70,B R' B2 F2 D' L2 D L2 R2 F2 R2 U R2 D' L D F' U L2 R2 D
23539,18.56,D2 F L2 B2 D2 R2 D2 F U2 F L2 U' B F' D U2 R' B' L D
23540,15.28,B' F2 L' D2 L B2 U2 R' B2 L F2 L2 F' R2 F2 D B2 L B' U
23541,17.94,L F' R2 L' U2 R U' B L B2 U2 B2 D2 R2 D2 L2 B' D2 L2 U2
23542,14.66,L' B2 L2 B2 D' R2 D2 U2 B' R2 B2 F U' B' R2 B
23543,18.77,R D' B D L U2 B U' B2 R2 D2 L2 D' B2 L2 U R2 F D
23544,13.94,U' F2 U' L2 B2 U2 L2 U R2 B2 D' L2 B R2 D B U R2 D R'
23545,12.66,L' U2 B2 R2 U' F2 U' F2 R2 U' L2 D' U2 B' L U' R' D' L' D B2
23546,16.69,U2 L F B' R' F2 D R2 F' R2 L2 U2 L2 B' L2 B R2 U2 B2 L
23547,12.80,B L' U2 F B' U2 F' D' L' U2 F2 B2 L2 D2 B2 D R2 U2 F2 B2
23548,20.76,R2 B D' L2 F2 L' F2 R B2 R2 U2 R' U2 B2 U F' R' U' B R' U'
23549,13.42,R2 D' B2 L2 R2 D2 F2 U' F2 U2 R2 D' B' D L' B2 U' B F2 U2 R
23550,14.17,L' F' L2 U2 L2 B2 D2 F D2 B' U' L' D2 R' D2 L' D B' L2
23551,12.57,F2 R D R2 U' R2 U2 F2 D L2 U2 B2 U' F2 R' D' U2 F L2 U2 R
23552,12.52,B2 R' L2 F' B L2 U' D B' R F2 D2 B2 L2 U2 D2 B2 R B2
23553,17.54,R2 D' F2 L2 F2 D' B2 D' L2 D2 F L2 F' U2 L' D B' L2 D2 R'
23554,14.87,U' R D2 R B2 U2 L2 B2 D2 L U2 R2 D R2 B' R' F D L R2
23555,15.01,D B R U' R2 D2 L' F' B' U2 D2 F U2 F R2 F' L F
23556,17.35,F' L' U2 B2 L B2 D2 L' R2 U2 B2 L F' D F L F R2 U R'
23557,15.54,U R' B D B R B R F D' R2 U' L2 D2 B2 U R2 D' R2 F2
23558,16.51,D F2 D2 L' F2 R' U2 L' R2 F2 D2 R' B D' B U2 B2 L' F'
23559,15.51,R B' L' B2 U2 F2 R B2 F2 R F2 U2 R2 D2 U' B' U F L R' U'
23560,17.38,R' F L2 D2 B2 D' B2 U L2 F2 D' R2 B2 L F' D2 R F' R2 B2 F2
23561,18.89,R' D F2 U2 R2 U2 L2 F U2 L2 U2 L2 F2 R' B' F U R2 F L D
23562,13.65,B' D2 B U2 B' U2 F D2 L2 U2 R2 U' F D2 L2 U2 R' F U B' U2
23563,17.51,R2 D2 R2 D2 R2 B2 D L2 U R2 D F2 L U' F' U2 R2 B2 R2
23564,14.05,U F2 L2 D2 B' D2 R2 B' L2 F2 D2 B' L2 R' D F D L' R' U
23565,20.31,B L' R2 U2 L2 R2 D R2 U' F2 D F2 R F U2 R2 F' R U2
23566,15.77,D F2 D' R2 D2 R' L U R' U2 R2 D2 F2 B' U2 F' B' L2 F'
23567,17.55,D' R D2 F' D2 L2 D2 B' U2 F' R2 U2 R2 B R D R U2 R F2 R
23568,13.75,F2 L U2 D B L' U2 R U' B' D2 R2 F2 U2 R2 B2 U2 L2 U R2 U2
23569,15.66,B2 L F2 R2 D2 F2 U2 R D2 F2 R2 D2 U R B' F R' B D' B2 L
23570,13.34,R F2 U R2 U2 L2 U L2 F2 D F2 D' R U2 L2 F2 U' B L2 D
23571,14.26,L2 D' F2 L2 U2 R D2 R F2 L2 B2 U2 B2 R2 B' L B' D B D2 F
23572,15.88,U L2 B2 R2 U2 R2 U L2 U L2 F' U' L B D2 U L B' L' R'
23573,13.52,B' F2 R B2 R' B2 U2 R U2 L2 F2 U L' B L D R B L D'
23574,18.32,F' R2 D' B' U' L U2 L2 F' U B2 U2 F2 R2 U' L2 U D2 L2 B2 L
23575,12.66,L U2 R B2 R2 F2 D2 B2 U2 F2 L' U F D2 B D U2 R D' U'
23576,16.88,R2 L' B' U B2 L' B' R D L2 U R2 D2 L2 U F2 R2 F2 D2
23577,15.10,D U2 L2 B R2 D2 B U2 B' R2 B R2 D' L D U' R' U2 F D2
23578,13.65,U' L U2 F' D2 F R2 F R2 U2 B L2 R' B2 R2 D' R' U2 L
23579,23.34,U' F' R2 B D2 L2 R2 B U2 B2 D L' B2 F2 L R' B' L R
23580,13.09,L2 D' R2 U' R2 F2 U F2 U' B2 U' B2 L B D B D' L B' R' D
23581,16.41,R2 U' R B2 R2 F2 D2 U' B2 R2 D' B2 U' R F D' L' D' R U'
23582,15.40,L U R B' L2 F' U R' F2 D2 B2 D2 L2 F R2 F' D2 L2 U'
23583,13.99,F L2 D2 F2 L' D2 L' U2 L' F2 R' D2 R U' R2 D2 F L2 B' U' F
23584,16.32,D2 B R2 B2 D2 F R2 F L2 U2 L2 U F2 L' F2 U2 L2 D' U' R2
23585,14.70,L' B U F B2 L U' L' F2 L2 B2 U2 R2 U2 R B2 L' F' R'
23586,15.23,D L' D2 L2 U2 F L2 D2 B' U2 F D2 B F2 U R2 D' L' D' F2 R
23587,14.89,R B R' D2 F2 R2 F2 R2 D2 F2 U B2 U' R2 F L' D' B' D2 R' F2
23588,13.70,F' U' R2 B2 F2 D2 U' L2 D' F2 U' R B' D' F2 D2 L R' D2 U2
23589,13.93,F2 L2 F2 D' L2 F2 D L2 U2 L2 D B' L B F' L2 R' U' R2 F2 D
23590,13.95,R L2 D2 L2 R2 D B2 R2 U' L2 U2 R D2 F' U2 F U' R B R'
23591,13.81,U2 R' U2 L' U L2 D' B' R' F U2 L2 B' U2 L2 F' B2 R2 B2 L2 D2
23592,16.70,L F R2 F2 R' B R F2 L2 U' R2 F2 R2 F2 B2 U' B2 D R B'
23593,18.61,U2 B2 L' B' R2 D2 R2 U2 B2 F' L2 B' D2 F' U' F2 L' F D' B' U
23594,16.01,R' U B2 R2 U' F2 U2 L2 U' L2 F' R2 U' F' L' B' D2 R D2
23595,13.41,F L2 F2 D2 F' D2 F' D2 U2 F' R2 U2 D' R B2 R F' U' R D' B2
23596,17.42,F L U' R' B2 L' D2 R' D2 U2 L R' U2 R' B D' L2 B L U2 F'
23597,14.85,R2 D' B2 D' F2 U R2 U F2 U2 F2 B' L' D' B2 D2 L2 F R' F'
23598,16.64,L2 U' L2 B2 R2 D F2 U2 F2 R2 U2 R U' R2 D' B2 F D' B2 D2
23599,14.82,R B D2 F2 D F2 B' R' D' B L2 D2 B L2 U2 F' B2 R2 U2 D2
23600,13.16,U D' B' R' D' B U2 B' L F2 R L D2 R' F2 B2 R' F
23601,DNF(19.82),F' R B2 U B2 L2 R2 U' B2 F2 R2 B2 L F2 D L' B' F' U' R2
23602,17.43,U2 R2 F2 U2 R D2 F2 R B2 D2 L2 B' D F L' D' L' D' U2 L
23603,16.31,U' F' U' B2 R2 F2 R2 D B2 R2 D' U2 R2 D2 R D U' F' U2 L' F'
23604,13.78,U' D2 B2 U2 R' U F D' R2 D2 L F2 L2 U2 D2 L U2 L2 D2 B
23605,15.82,U2 B' L2 B2 D2 L' D2 F2 L B2 L2 R2 U F' R F D U' F' L'
23606,14.94,R' B2 L' U2 R B2 F2 L D2 F2 U2 B' D' U R B' U' B F R2
23607,15.26,F L B2 U' R2 U L2 D2 R2 U F2 D F2 U' F' R B R U L2 B2
23608,12.75,B2 L2 D2 R' B2 L2 U2 F2 L F2 D' L B F' R' B U' R2 B
23609,13.71,B2 D2 R B2 F2 D2 L B2 L' F2 R' D' R' D' L2 F D R' D2 R'
23610,16.15,R2 U L2 U R2 F2 U' B2 U' F L' B2 R2 B' R B' U' F2 U'
23611,12.21,U B' L U' D' L U' F2 R U2 F2 R2 L2 B D2 B' R2 F R2 B' R'
23612,13.52,F L U B' R B' L U2 D R2 L2 B2 R2 U L2 D' R2 B2 L2 B D'
23613,16.58,R U' B2 U' R D' B L F R2 B2 D2 R2 L2 D F2 D R2 L2 D L2
23614,13.81,L2 D2 L D2 L B2 R' U2 F2 D2 R' U' B' U R D' U F L' U' R'
23615,12.74,F L' F2 D L U2 L F' U D2 L' F2 D2 B2 L' U2 R2 D2 B2
23616,18.24,R2 B2 R2 B2 R2 U2 L2 U' B2 U L2 F2 B' R D' F U' L R B' L'
23617,14.23,F' D2 L2 F' D' R F B R B2 U2 R2 F2 B2 L F2 R2 D2 F2 U'
23618,14.12,D B2 D B2 R2 D' L2 D' F2 U F' R' D2 R' U L2 F' D B2 D
23619,16.45,F2 L2 B R2 F2 R2 D2 F' U2 R2 D2 L2 R D2 F L' U R F R U2
23620,18.68,B2 L2 D L2 D' F2 L2 F2 D R2 D' U2 B D2 B' D U2 F U2 R U
23621,14.39,B2 R B' U2 B R2 F' L2 U2 F' D2 B D2 B2 R' D B' R' F' L' R'
23622,17.72,B' R D2 R2 D' B2 R2 B2 L2 D' B2 F2 D2 F' D L' D R' U' F'
23623,14.82,U2 L B2 D2 L2 D2 R' U2 F2 U' F U' B2 R' D U L' F'
23624,14.43,L B2 L2 F2 U' R2 D2 U F2 D U R' B L R' B2 L F2 D' B2
23625,16.29,F L2 D2 F' U2 L2 U2 B' L2 B' L2 B' D F' L B2 D L2 B' U2 L
23626,14.64,F' L' B U R2 U2 R' D' B' R2 B2 D' F2 B2 L2 D R2 B2 D B2 D'
23627,16.81,L U D2 B2 L2 B2 L' F2 D2 L2 U2 R' B2 D L B F L2 F D2
23628,17.62,U R2 U2 L2 R2 F2 U F2 D L2 U2 F' R' F L R B2 U' F L F
23629,17.42,F' L D B2 U' L2 B2 U2 B2 D' F2 U' F2 L D' R' B L2 R2
23630,12.12,B L' D2 L2 F' R2 D' L F2 B2 U F2 B2 U' L2 D L2 D L2 D2
23631,17.79,F' B2 L2 B2 F2 U L2 F2 L2 B2 D' U' B D' B2 R' B R' F2 R
23632,14.70,B' D' L' U D' B' R2 F2 D R2 U2 F L2 F' L2 F D2 L2 F D2
23633,20.45,F2 R F2 D2 B U F' R U' B2 U2 D2 B D2 L2 B' U2
23634,13.13,U L U2 R F2 B2 D' R' F' U' B2 U2 F2 B2 U' F2 D' B2 D' L2
23635,14.15,F2 D2 L2 F' L B' R D' L' F' L2 F' D2 L2 F' L2 B D2 F' U2 F'
23636,14.96,D2 B' F2 R D2 R' D2 R' U2 B2 L B2 R2 B U' B R' D U F2
23637,15.74,L' U F2 R' B' D L' F D L F2 R' B2 R U2 L2 D2 B2 D2
23638,12.37,L2 D B2 F2 L U2 L2 F2 D2 B2 L D' R B F U' L' U'
23639,12.97,F2 L2 R2 U2 F U2 F' L2 R2 U2 B' R D2 F' L2 F' R' U L' D
23640,15.03,R2 U2 B2 R2 U2 R2 U2 R' D2 R' F2 R B' D R U' F L2 U
23641,15.31,F' U' B2 R2 D U2 L2 D F2 D2 U' R2 L' F D L R' U2 R2 D B'
23642,12.45,F U' L2 D' U2 R2 U R2 F2 D F2 L' F D2 U2 F L2 F' L D'
23643,15.51,B2 F2 L2 R2 D2 U' R2 F2 U' L2 U' B2 F' L D' F2 U2 L2 R' D
23644,14.33,D2 R B2 D B2 U' L2 D L2 D R2 D' R2 U F' L' F R2 D B2 D2
23645,14.55,F L' F2 D2 L' D2 L U2 R' F2 L' R2 U2 D' L B' R2 D' R F D
23646,14.09,L2 R2 D L2 D' F2 L2 U F2 D2 R' D2 F L2 U' B D L2 U' R'
23647,14.55,U2 L2 U B2 U' B2 F2 D' L2 U2 L' B' F U' B' D' R2 D' L
23648,13.92,F R U2 B' R2 F' R2 F' D2 U2 F' D2 F R' U F2 U R2 B2 D2
23649,13.37,D' F' R F L2 B D' R U' F2 R' B2 R U2 F2 D2 F2 L' U2 D2 B2
23650,15.23,U' R L2 U' B2 F2 D2 F2 D' F2 L2 U R' D2 B R' F' L2 D F'
23651,14.82,B' D2 B D2 U2 B' L2 R2 B L2 B' L2 D' L' F' U' B' R F' L' B
23652,14.96,D' R2 F' R2 F U2 F U2 B2 R2 F' R' F' U2 B2 R B2
23653,15.77,F2 U' L2 B2 U' F2 U' B2 D' F2 D' B R B R' U F L U' F L2
23654,16.65,R L2 U R2 F2 R2 U' B2 U' L2 D U L U2 B L D' U2 F2 U
23655,15.96,B U B' R' F' U' D2 B L D2 F2 L F2 L' U2 L2 U2
23656,15.69,R B2 F2 D2 F2 U' L2 U R2 U2 F2 L2 U2 F R D L' D F D2 B
23657,14.52,B' R2 B D2 U2 R2 F D2 F2 L2 F2 R F' U B' F2 R' B' U L
23658,16.28,R B L2 B' R2 F' L2 F' R2 F2 D2 F' L2 R' B' U2 B2 R U L' F2
23659,11.87,D' B' F2 L2 R2 U L2 R2 D' U2 F2 U' R2 U2 B' L' B2 R B' R2 U'
23660,15.98,B2 R2 U B2 U2 L2 U2 F2 U L2 F2 U2 F' L R' F' R2 B F' D B'
23661,16.82,F R2 U' D R F2 U F' R2 D R2 D F2 U2 F2 R2 U' F2 L2
23662,14.08,L D' U' L2 B2 L2 D F2 D2 R2 B2 R' D' U L' F D' U' B D'
23663,15.84,U R U B L2 U L B' D2 R2 F2 R2 L' F2 L' B2 D2 R F2 B2
23664,13.23,L' B' L2 F U2 F' L2 F' L2 F' R2 B' L2 D B R F2 L2 B' U'
23665,17.82,B2 L F U2 L2 U2 B L2 B D2 F L D U F2 D B2 R2
23666,14.92,B D' R U2 F' U2 D2 F2 D R U2 D2 R L' U2 L F2 U2 L D2
23667,17.57,L' F' U2 F2 L D2 U2 L' D2 R D2 B2 R' B' L U' F' R B F'
23668,17.97,U' B' F2 U' L2 B2 D R2 U B2 D F2 U2 B D' L B R B' D' U2
23669,16.59,R2 B' L' B2 U2 R' B2 U2 L' R' B2 D2 L2 D' B2 R2 U R D B R
23670,17.72,U' R2 L U2 F2 U' B' F2 L' B2 D2 R2 D2 R' D2 L D2 L F U2
23671,13.45,L B2 L2 B2 D2 R2 D F2 U' F2 R2 U' L U' R2 B R B D L2 F
23672,14.64,F2 L2 D L2 D L2 U L2 D L2 F2 L F' L2 D F2 R' U B2 R2 F2
23673,13.43,U' L2 U2 R2 B2 L2 F2 D' R2 D' B2 R' B' L' D F2 L' U R' F'
23674,18.00,D2 B D2 B2 U2 R2 U2 L2 F' L2 B' D' F2 U F R U' L2 F' D'
23675,14.29,B2 D2 B' D R2 B U F' B R B2 L2 F2 L U2 L B2 D2 L F2
23676,16.20+,F U B2 R2 D2 U F2 D2 F2 R2 U F2 B' R' F' U2 R U' L2 R
23677,14.45,F U' R F U' R' L2 U' F L2 U2 F2 U2 R' F2 R' F2 D2 R2 U2
23678,14.42,R F' L2 R2 D2 F2 D' L2 U B2 L2 U F U' B' R' F' D R2 B
23679,17.22,F2 L2 D L2 U L2 B2 U' B2 U2 B2 L2 B' D2 F2 L D2 R U' L2 B'
23680,12.23,B2 F L2 D' R2 B2 D R2 D2 B2 R F2 U2 F' L2 R2 U R'
23681,13.92,F R' U2 F U2 R B R D R2 F2 U' F2 B2 D R2 U B2 U L
23682,15.38,U' D B D2 R L2 B' U L' D2 L B2 L' U2 L' F2 R2 U'
23683,16.12,F2 R2 B' R2 B D2 F' D2 F' D2 F D R2 B L' U' B' U' L D
23684,15.71,L2 B2 U2 B2 R2 U2 L2 D' R2 D B2 L2 R' F2 U' L2 F R D U' L'
23685,14.81,F L2 U B' L B2 D' L' B2 R2 L2 D' R2 B2 U2 D' F2 R2 F2 B
23686,16.88+,U F2 U R2 U' L2 D2 U' L2 B2 D' R2 F' R' D' B2 R' F' D B F2
23687,21.57,L' D2 B2 R D2 L' B2 D2 L R2 U2 R B D2 R B2 L' D' U' L
23688,16.37,F2 D R2 D U B2 R2 D' B L D2 R B' R2 U' R2 D
23689,18.19,U2 L B U2 B R2 F2 U2 R2 D2 R2 B D2 F R' F2 U' R D' F' R'
23690,15.28,D2 R D2 L2 B2 L U2 R F2 R' F2 D2 B' U' L2 B' F' R2 D' B2
23691,12.54,L' U B' D' F2 B' L B' R2 D2 R2 U L2 U' F2 D' R2 D' L
23692,14.19,F2 U2 L2 F2 U R2 B2 D2 F2 U' L2 B' F' L D L F2 D L2
23693,16.99,D L2 F2 L2 B2 R2 U2 L2 R2 F' U2 R2 F D B' L' R' F' U B2 F'
23694,15.34,R2 D2 B R2 B L2 R2 B2 L2 F' D2 L2 D' R B' R F' L U R U'
23695,13.26,B' R D2 B L' U2 B' F2 U2 F2 U R2 F2 U' F2 R2 D R2 U2 R B2
23696,17.17,D2 L' U2 F L F' D F' U2 F2 D2 L2 F U2 F D2 F' U2 D' R'
23697,14.99,U2 R' U2 R2 B2 U2 L' F2 L' B2 R D' L' F2 U2 B' F L F' R'
23698,12.62,B2 L2 B2 F2 D B2 D' F2 D' R2 U B' R2 F R' D R2 F' L B'
23699,16.17,L2 D' L B2 L F2 U2 F2 D2 F2 L R2 D2 U L2 B' R2 B F R2
23700,12.61,U2 F B' U2 R2 U' F' L F2 U L2 U2 F2 U L2 D2 F2 B2 D'
23701,16.55,U' F U2 L2 R2 D' R2 D F2 D2 U' R2 U R' B D2 L R F D2 U
23702,15.58,D L' B2 L' U L' U' B R2 L D2 R2 U2 B2 L F2 B2 D2 B2 L'
23703,19.34,B' D2 F R2 D2 L2 B2 U2 B F' R2 F' U B R F U' R2 D' R' D'
23704,16.20,R2 U2 F' U2 R2 B2 D2 R2 B L2 F2 R' U L' D2 F' D L2 R2 D
23705,13.25,U F2 U R2 F2 R2 D L2 F2 R2 B2 L' D U2 R' F2 U2 F U' F' L
23706,12.65,U D' B R L2 U2 B' R' D' B2 U2 F2 R2 U B2 L2 U L2 U2 F2
23707,13.51,R U2 L U2 F2 D2 B' U F' B' L2 B' U2 F R2 U2 B2 R2 L2
23708,18.94,R2 F L' D F' R' B' F2 U' B2 U' R2 B2 R2 D R2 U R2 F2 B'
23709,13.44,U2 L2 F R2 F' R2 F D2 R2 B' R2 U' B' L' R D2 F R D2 F U'
23710,14.23,D R' F D2 R2 B R2 F R2 F2 D2 R2 U2 R2 U R2 F2 R D2 R D2
23711,16.81,R' U' B' L F' D F D2 L' D2 R' F2 B2 R U2 D2 R U2 F L'
23712,17.01,U2 D' R U B' D2 B' R2 D2 F2 L' F2 L U2 L2 U2 L B2 D B2
23713,15.79,B' U B D' F2 U2 R D' U2 L2 F' U2 F L2 B R2 D2 F' L'
23714,15.48,F2 R2 F2 L2 F2 U F2 L2 D U2 F L R2 D' R' F U' R2 D2 L
23715,13.94,F2 D2 L F2 U2 L' R' U2 B2 R U2 R F' R' U2 F R F2 U' L2
23716,13.11,F' D2 L2 B D2 B' U2 L2 U2 F L2 F D R' F R B' R2 U2 R' U
23717,13.23,D B2 R F2 D2 F2 R D2 L' D2 L' B2 D2 B' U R U' L2 B R' D2
23718,12.83,L' F2 L2 F2 R2 U' R2 B2 D B2 D2 F2 L F U' L2 F' U B' D2 R2
23719,16.44,F2 L2 R' D2 R' D2 R' U2 B2 R2 U2 F L' F' D' L U' F' R2 F2
23720,13.66,F' U' L2 B U2 L2 D U2 F2 D2 R' F2 U2 D2 R' B2 U2 L2 D F2
23721,19.48,U2 F2 L' R2 D2 L2 R2 D F2 L2 U B2 R2 U B D' R' F R2 U F'
23722,12.97,U2 F R2 D2 R' F2 B U L2 U' R2 B2 U D F2 R2 B2 L2 F L
23723,13.41,R F2 D' R2 B2 D U' F2 R2 U' R2 U F L' F2 L B F' L2 U
23724,15.38,F2 U' F2 L' B U R U' F' D2 R2 U2 F2 D B2 D' B2 D2 R2 B2 D2
23725,12.71,L U2 B R2 D2 U2 B2 F' R2 F' D L2 D B L D U R'
23726,12.66,B2 R2 F' R F R2 D2 B' R2 L2 F2 D' L2 D2 R2 D F2 R2 L'
23727,15.56,R F2 D R2 D' B2 U L2 F2 U F2 R2 U R' B L U R2 B' R F
23728,13.44,R' D U B2 R2 D' B2 U' L2 U R2 F L' U' B2 F R2 F2 D' R'
23729,18.40,R F' B2 R2 U' F2 D' F2 R2 D2 B2 L2 D B' L' U' R F' L' R2 D
23730,14.36,U2 R2 U' L' F L' F2 L F' B2 L' F2 B2 R' F2 L F2 L' U2 R F2
23731,12.67,D2 F U R F D2 L' D' L' B2 D2 R D2 B2 R B2 L F2 R' D
23732,14.11,R' F' U B L2 D R U2 B' R' D2 B2 U2 R B2 U2 D2 R' U2 L'
23733,17.93,L2 U2 B2 R2 F2 L2 D2 F L2 F R2 L' U F' U2 L B U' F D'
23734,14.74,U' B D R2 F' L2 D2 R2 F D2 F' R F2 D' U B2 R' F'
23735,16.83,L' U R2 B2 L2 U2 R2 F' R2 B D2 B' D2 F U B' F' R B F L'
23736,15.48,L D' R L' F' D' R' B' R U' F2 U' D' R2 B2 U2 B2 D2 L2
23737,14.45,L2 F2 D' U' B2 L2 U L2 U' F2 L2 B2 L U2 F' L' U2 R' B2 U' L'
23738,17.76,U' L2 U2 F U2 F L2 R2 F L2 R2 D B2 R' U' F2 L U L' U
23739,17.10,B2 D L U2 R' D2 F2 D2 L D2 L2 U' F' L' U' R' U R
23740,16.70,R B D2 R2 D2 U2 B2 D2 B D2 B L2 D B' F2 R2 B L U2 L D
23741,17.42,B2 R2 B2 L2 U2 B' U2 B' F' R' D B F' L F2 D' U2 R' U2
23742,16.13,D' L F U R' D2 R F' R B2 U R2 U' L2 F2 B2 D L2 D' F2 U
23743,14.41,D2 R2 L' D2 B D' F R L2 F2 D L2 D2 L2 D R2 D' B2 L2 B
23744,13.47,D2 B' L' D R2 B' U' D B2 R2 U2 R2 U2 D2 R' F2 U2 F2
