Number, Time, Scramble 
122,16.47,R' F2 L R F2 D2 F2 R B2 R2 F2 D U' B D2 F2 R' F2 D L B2
123,13.45,L F U F' R' F2 R B D2 B2 R' B2 R L2 F2 D2 R U2 R' D'
124,12.93,B2 U' F2 L2 B2 U B2 U2 R2 U L' D' B' U2 L' D2 F2 U' B2 L'
125,18.10,D F' L2 F D2 B L2 F' D2 F' R2 F' D' U F D U2 L' B' D' U
126,17.15,D2 L' F R B' U' R' L B' D2 B U2 L2 U2 R2 F' D2 R2 U'
127,15.03,L F' D B2 R' L' D L D2 F' D2 L2 U2 B2 R B2 D2 L B2
128,15.55,U2 D' B' U2 R2 L B' D2 R' L2 U2 L2 U' R2 D F2 D' R2 F
129,14.75,B2 F2 L' D2 R B2 F2 R U2 L2 B2 U B' U2 F' D' R2 U2 B' L U'
130,15.94,R' D2 B2 R D2 L' D2 R' U2 L2 F' U' F D B' D L' D2 F R
131,18.92,F2 B D' B2 D' F' D2 R' D2 L2 U2 F D2 B2 D2 R2 F L2 F' D'
132,13.12,F U2 F2 U2 R2 D2 L2 U2 F2 L' F2 R2 D' B' F L' D U2 R'
133,17.38,R' D2 R2 B' R F U F2 D' F R2 F B2 L2 F2 U2 B' R2 L
134,15.86,D2 B2 U2 L2 U2 F2 U2 B' F2 L2 R U L R' D' F' U' R' B' D
135,15.60,D2 R2 F' L2 U2 B2 F2 U2 B' L' R F L' D' L' F2 L2 D U
136,17.20,R' D2 U2 B R2 B F2 R2 B U2 F U L2 R U L D' R2 B F
137,15.52,B' U2 F2 R' B2 L R2 U2 B2 R2 B2 L2 U' B R2 B U' F2 U2 F2
138,12.20,B' D' L2 R2 U' F2 L2 U2 L2 D U' R' F' L' F' D' R D2 L2
139,13.23,U R2 D F2 U F2 U F2 D2 R F U' B2 D' R' F L2 R U'
140,17.07,U' L B2 U2 L' U2 R2 F2 L2 B2 D2 L' D R U' R F' L' U' B2
141,11.37,F' U2 L2 F L2 D2 F2 L2 F' U2 F2 U' L' B' U' R B2 F
142,17.96,B' D2 B2 R2 D' U2 B2 U F2 R2 L' F L' D2 R' D2 R F2 U2
143,13.28,R2 U2 B D2 F' R2 B U2 L2 R2 F R' B2 D F' R F' D2 R U F
144,16.24,R2 F U2 F D2 F' R2 B' L2 D2 F2 D L R F' D B R' U2 B D2
145,14.76,L2 U2 F2 R D2 F2 R' U2 B2 F2 U F' R' B L' F U B2 L2 D2
146,14.06,U' F2 U' L2 F2 R2 D2 R2 D B2 U' L' D U B' L' R' D U' B R'
147,14.32,L2 U B2 L2 U L2 U F2 U2 B D R F L U B L F U
148,15.61,B' R L' F' D' R2 F D' F2 R L2 B2 D2 R2 B2 R F2 B2 L' D
149,17.96,R' U' L' U2 R' D B R F B2 U2 R2 B2 R' F2 U2 D2 R' B2 R'
150,13.82,F R2 D2 R2 B R2 F' L2 F' U2 R2 U B2 L R' D' L' U' R F'
151,12.55,F2 D F' B2 U2 B2 R B' L2 U F2 U2 D B2 R2 D L2 D' B2
152,14.70,B2 R D2 L' B U2 R' U R U2 R2 B2 U2 R U2 R L2 U2 D2 F'
153,17.44,D' B2 R2 D2 B2 D' U2 B2 F2 L2 F2 B R F2 L' R2 D' L' B2 R2 F
154,12.84,U2 L2 B R2 D2 L2 U2 F' D B' U2 L U B2 U' R' D2 B2
155,15.03,D' F' D' L B D2 L' B U B R2 B L2 D2 B R2 F' L2 F2 D2
156,13.49,F U2 R2 F' R2 F D2 R2 D2 L' B R' D' L2 R2 U' B' R2 D2
157,14.85,R2 F D2 F' D2 R2 B2 F2 D2 R2 D B F R2 U' R' D2 L2 F
158,15.11,D R F2 L' B' R' U' B' R F D2 R2 L2 B' U2 F2 D2 F' R2 L2
159,14.00,F U' B D' F2 R L F B' L U' R2 L2 B2 U' F2 L2 B2 D R2 U2
160,13.80,B2 U B2 D2 F2 U R2 F2 B D' L U' F U2 L2 D' R2 U' R
161,15.26,D F2 R2 U2 B U2 B D2 U2 F R2 L D' F' L2 B2 D' F2 L R'
162,14.88,L' R2 B' R2 B U2 B L2 F' R2 F2 U' B D L2 B' D' L U
163,15.18,D' B2 L2 F' D2 B' F' U2 B L2 F D F' U2 L' D2 L2 F' U R'
164,18.03,F' L B L2 U2 R D' F' B U D2 F2 U2 B R2 F D2 B' U2 D2
165,15.14,R U D' L' F' R B' U F2 R2 D2 R U2 R' D2 L2 D2 F2 L B'
166,15.73,F B D L2 F R U L' F' D F2 L2 D2 L2 U' B2 D2 B2 D L2 F
167,14.76,L F D R2 F D L' B2 R F' D2 R2 D2 B' R2 B2 R2 D2 L2 F
168,16.04,F L2 B2 R D2 R B2 R F2 R2 F2 R U' R U2 B' D R D2 L
169,16.56,F U2 L2 D R2 D F2 U2 B2 R2 D R B2 F' D L U2 R B D' L2
170,17.89,R2 B U2 L2 R2 B U2 L2 B U2 R2 U' R U L' B' F D B D2 U
171,14.92,D2 L' B2 L U2 L F L F2 D' L2 U2 R2 B2 L2 D2 B2 D' F
172,15.15,U2 F D2 B' U R' L2 B' U2 B' R U2 B2 L2 D2 L' U2 B2 R
173,17.30,B2 F2 L2 B2 U2 R D2 R' B2 U2 F D2 R2 D R2 F' R' B2 F' R
174,15.07,D R' F' R F2 B' U' R' F U2 D2 L' B2 L U2 R' U2 F2 R2
175,18.65,B2 D2 L2 R F2 R2 U2 F2 U2 F2 L2 D' L' B' U2 F U' R2 F' R' F
176,14.36,B2 U' B' R' B2 R2 D R D' U2 F B D2 L2 U2 L2 F R2 L2
177,12.53,U' R2 F2 L2 F2 D2 U F2 D2 L2 R U L B' L2 U B D L' R'
178,16.38,B' D2 F R D' L' U D2 L R2 D2 R2 D B2 U' R2 U' L2 B2
179,15.59,D' B2 D2 L' B2 R' U2 R2 F2 U2 F U R2 B' R2 B' R' B
180,13.74,F2 L2 F2 R2 U' B2 F2 D' U2 B2 D' F' D2 L' D B D' U2 L' U'
181,17.69,B2 D2 U2 R U2 F2 R' B2 F2 L U R' B2 U L' F2 U' R F D
182,15.03,D B L F' R L B' R' L2 F' U2 L2 B' L2 F2 R2 F U2 D
183,17.21,D2 B' F2 D2 F L2 D2 U2 B' U2 D' R' U2 L2 U' B' D L U' R
184,21.69,U' L2 D' L2 F2 D' R2 U F2 U' B U F' U2 B L B D2 F2
185,14.70,U2 R2 F2 R2 B2 D' B2 F2 U2 L2 D' L B D2 U R2 B' F2 L' F2 U
186,14.42,D2 U2 F D2 U2 F' L2 D2 B U2 R' D' B R' F R' D B R' B2
187,16.41,U2 F2 D2 L B2 U2 L2 R' B' R F D' F' U' L R D2 B
188,14.75,D B L' B' D' F U2 B2 U' R2 L2 D2 F U2 L2 F' L2 B' U2 D2
189,14.19,B' D' B U F U B2 R U D L2 F2 U F2 R2 D R2 U2
190,13.09,L D2 B' U B U' L2 B U' F B2 D2 B U2 F' D2 F' R2 F
191,14.18,U2 L2 D2 R' D2 U2 R B2 D2 L' D' L' F' L D2 L' D2 U R2
192,14.17,F2 R F2 L' B2 U2 L2 F2 D2 B R U B' U2 F' R2 U L2 F
193,14.35,L2 B2 F' U2 R2 U2 L2 F D2 B2 R B' R' U B2 L2 B L
194,22.39,B' D' F2 U2 L2 R2 D' F2 L2 D' U' B' D2 U' B' R' D F L' B2 R'
195,15.44,R L' B' L' B U L F R' D2 R2 D' F2 D' F2 R2 F2 D' R
196,14.79,U2 B2 D2 L2 F2 U2 F' L2 F' R U' B2 D B D' F D2 B2 L2
197,16.84,U2 R2 U2 L2 R2 F' D2 B2 F2 L2 R U B2 L' D2 B' F D' L F
198,16.59,D2 R2 U F' B' D B L D F2 D2 R' F2 U2 R F2 R' D2 B'
199,15.04,U D2 L2 R B2 U2 L' R' B2 U' F D' U B' R' F L2 R
200,15.46,U2 L U B2 D2 R2 F L2 B' U' L2 D F2 U' D2 B2 R2 U B'
201,18.58,D' R' U B U2 L2 F' R' D B' F2 D2 L2 U2 R2 F2 D' L2 F2 U'
202,12.06,B U' B2 D' F2 L2 D' R2 U F2 R F D' B2 L' D R' B U2
203,12.94,U2 L B2 U2 R' F2 R' D2 F2 D U' L F' L2 R2 F' L' R2 F2
204,14.23,L2 U2 F' U2 B2 R2 F2 R2 F' U2 L D' L F2 U L B R U
205,15.72,U' D2 F' U2 R2 B' L2 F' L2 R2 D2 R U' L B2 F L R2 F' D2
206,13.72,U2 L2 F' L2 U' R L2 D R B2 U2 B2 R B2 U2 L U2 F2 L D'
207,16.96,B2 D2 U2 L2 F2 L' F2 R2 F2 R' F2 D' F' R' B' D U2 F' L' R
208,17.20,B U' F2 R2 B2 L2 U' L2 B2 U2 B L B2 D' R' B2 D2 L F2
209,15.99,U L2 U2 F U2 L2 B2 R2 U2 F' U2 D R2 U2 L' B F R B L2
